Time (ms),Soma Voltage (mV)
0.0,-66.0
0.025,-65.99530412129315
0.05,-65.9937069945131
0.075,-65.99389290090338
0.09999999999999999,-65.99511258827158
0.12499999999999999,-65.99693886626426
0.15,-65.99912769024749
0.17500000000000002,-66.00153919602774
0.20000000000000004,-66.00409280955495
0.22500000000000006,-66.00674172546259
0.25000000000000006,-66.00945839563396
0.2750000000000001,-66.0122262765028
0.3000000000000001,-66.01503513429986
0.3250000000000001,-66.01787837300452
0.35000000000000014,-66.02075151229575
0.37500000000000017,-66.02365131940688
0.4000000000000002,-66.02657531287035
0.4250000000000002,-66.0295214778319
0.45000000000000023,-66.0324881017906
0.47500000000000026,-66.03547367894447
0.5000000000000002,-66.03847685367555
0.5250000000000001,-66.04149638641562
0.55,-66.04453113235803
0.575,-66.04758002758803
0.5999999999999999,-66.05064207953895
0.6249999999999998,-66.05371636000983
0.6499999999999997,-66.05680199973465
0.6749999999999996,-66.05989818392368
0.6999999999999995,-66.06300414844176
0.7249999999999994,-66.06611917642775
0.7499999999999993,-66.06924259523889
0.7749999999999992,-66.07237377364987
0.7999999999999992,-66.07551211926165
0.8249999999999991,-66.07865707609109
0.849999999999999,-66.08180812232095
0.8749999999999989,-66.08496476819492
0.8999999999999988,-66.08812655404589
0.9249999999999987,-66.09129304844748
0.9499999999999986,-66.09446384648042
0.9749999999999985,-66.09763856810592
0.9999999999999984,-66.10081685663931
1.0249999999999984,-66.10399837731764
1.0499999999999983,-66.10718281595517
1.0749999999999982,-66.11036987768153
1.099999999999998,-66.11355928575728
1.124999999999998,-66.1167507804621
1.149999999999998,-66.11994411805128
1.1749999999999978,-66.12313906977617
1.1999999999999977,-66.12633542096466
1.2249999999999976,-66.12953297015815
1.2499999999999976,-66.13273152830136
1.2749999999999975,-66.13593091798187
1.2999999999999974,-66.13913097271625
1.3249999999999973,-66.14233153628003
1.3499999999999972,-66.14553246207869
1.3749999999999971,-66.14873361255722
1.399999999999997,-66.15193485864594
1.424999999999997,-66.15513607924024
1.4499999999999968,-66.1583371607122
1.4749999999999968,-66.16153799645224
1.4999999999999967,-66.16473848643882
1.5249999999999966,-66.16793853683451
1.5499999999999965,-66.17113805960682
1.5749999999999964,-66.17433697217231
1.5999999999999963,-66.1775351970625
1.6249999999999962,-66.18073266161026
1.6499999999999961,-66.18392929765547
1.674999999999996,-66.18712504126862
1.699999999999996,-66.19031983249145
1.7249999999999959,-66.19351361509352
1.7499999999999958,-66.19670633634357
1.7749999999999957,-66.19989794679499
1.7999999999999956,-66.20308840008448
1.8249999999999955,-66.20627765274294
1.8499999999999954,-66.20946566401804
1.8749999999999953,-66.21265239570768
1.8999999999999952,-66.21583781200353
1.9249999999999952,-66.21902187934437
1.949999999999995,-66.22220456627821
1.974999999999995,-66.22538584333303
1.999999999999995,-66.22856568289535
2.024999999999995,-66.23174405909627
2.0499999999999954,-66.23492094770448
2.0749999999999957,-66.2380963260259
2.099999999999996,-66.24127017280935
2.1249999999999964,-66.24444246815816
2.149999999999997,-66.24761319344702
2.174999999999997,-66.2507823312441
2.1999999999999975,-66.2539498652378
2.224999999999998,-66.25711578016815
2.2499999999999982,-66.26028006176222
2.2749999999999986,-66.26344269667365
2.299999999999999,-66.26660367242584
2.3249999999999993,-66.2697629773586
2.3499999999999996,-66.27292060057806
2.375,-66.27607653190974
2.4000000000000004,-66.27923076185435
2.4250000000000007,-66.2823832815465
2.450000000000001,-66.28553408271573
2.4750000000000014,-66.28868315765004
2.5000000000000018,-66.2918304991617
2.525000000000002,-66.29497610055506
2.5500000000000025,-66.29811995559636
2.575000000000003,-66.30126205848545
2.600000000000003,-66.30440240382913
2.6250000000000036,-66.30754098661629
2.650000000000004,-66.31067780219439
2.6750000000000043,-66.31381284624754
2.7000000000000046,-66.31694611477579
2.725000000000005,-66.3200776040758
2.7500000000000053,-66.32320731072267
2.7750000000000057,-66.32633523155279
2.800000000000006,-66.32946136364788
2.8250000000000064,-66.33258570431994
2.8500000000000068,-66.33570825109709
2.875000000000007,-66.33882900171038
2.9000000000000075,-66.34194795408129
2.925000000000008,-66.34506510631007
2.950000000000008,-66.34818045666482
2.9750000000000085,-66.3512940035711
3.000000000000009,-66.35440574560238
3.0250000000000092,-66.3575156814709
3.0500000000000096,-66.36062381001922
3.07500000000001,-66.36373013021216
3.1000000000000103,-66.36683464112939
3.1250000000000107,-66.36993734195828
3.150000000000011,-66.37303823198741
3.1750000000000114,-66.3761373106003
3.2000000000000117,-66.37923457726959
3.225000000000012,-66.3823300315516
3.2500000000000124,-66.38542367308122
3.275000000000013,-66.38851550156701
3.300000000000013,-66.39160551678681
3.3250000000000135,-66.39469371858337
3.350000000000014,-66.39778010686047
3.375000000000014,-66.40086468157911
3.4000000000000146,-66.40394744275405
3.425000000000015,-66.4070283904505
3.4500000000000153,-66.41010752478104
3.4750000000000156,-66.41318484590269
3.500000000000016,-66.41626035401423
3.5250000000000163,-66.41933404935358
3.5500000000000167,-66.4224059321955
3.575000000000017,-66.42547600284925
3.6000000000000174,-66.42854426165651
3.6250000000000178,-66.43161070898938
3.650000000000018,-66.43467534524858
3.6750000000000185,-66.43773817086159
3.700000000000019,-66.44079918628111
3.725000000000019,-66.4438583919835
3.7500000000000195,-66.44691578846727
3.77500000000002,-66.4499713762518
3.8000000000000203,-66.45302515587603
3.8250000000000206,-66.45607712789732
3.850000000000021,-66.45912729289019
3.8750000000000213,-66.46217565144542
3.9000000000000217,-66.46522220416901
3.925000000000022,-66.46826695168119
3.9500000000000224,-66.47130989461563
