Time (ms),Soma Voltage (mV)
0.0,-66.0
0.025,-66.00416534635923
0.05,-66.00801421044525
0.075,-66.01162729707356
0.09999999999999999,-66.01506463063329
0.12499999999999999,-66.01837087150597
0.15,-66.02157925364493
0.17500000000000002,-66.02471450953455
0.20000000000000004,-66.02779504541874
0.22500000000000006,-66.03083455968037
0.25000000000000006,-66.03384324712492
0.2750000000000001,-66.03682869518126
0.3000000000000001,-66.03979655085034
0.3250000000000001,-66.04275101705
0.35000000000000014,-66.04569522199718
0.37500000000000017,-66.04863149410427
0.4000000000000002,-66.05156156655848
0.4250000000000002,-66.05448672957091
0.45000000000000023,-66.0574079436812
0.47500000000000026,-66.06032592407924
0.5000000000000002,-66.06324120335789
0.5250000000000001,-66.06615417821381
0.55,-66.06906514420236
0.575,-66.07197432160233
0.5999999999999999,-66.07488187466464
0.6249999999999998,-66.07778792593722
0.6499999999999997,-66.08069256692569
0.6749999999999996,-66.08359586602708
0.6999999999999995,-66.08649787443419
0.7249999999999994,-66.08939863052957
0.7499999999999993,-66.09229816315573
0.7749999999999992,-66.09519649404872
0.7999999999999992,-66.09809363964936
0.8249999999999991,-66.10098961245119
0.849999999999999,-66.10388442200362
0.8749999999999989,-66.10677807565867
0.8999999999999988,-66.1096705791266
0.9249999999999987,-66.11256193688962
0.9499999999999986,-66.11545215250969
0.9749999999999985,-66.1183412288578
0.9999999999999984,-66.1212291682846
1.0249999999999984,-66.12411597274742
1.0499999999999983,-66.12700164390495
1.0749999999999982,-66.12988618318771
1.099999999999998,-66.13276959185059
1.124999999999998,-66.13565187101206
1.149999999999998,-66.13853302168332
1.1749999999999978,-66.14141304479016
1.1999999999999977,-66.14429194118927
1.2249999999999976,-66.14716971168045
1.2499999999999976,-66.15004635701577
1.2749999999999975,-66.15292187790644
1.2999999999999974,-66.15579627502801
1.3249999999999973,-66.15866954902432
1.3499999999999972,-66.1615417005105
1.3749999999999971,-66.16441273007521
1.399999999999997,-66.16728263828253
1.424999999999997,-66.17015142567327
1.4499999999999968,-66.1730190927661
1.4749999999999968,-66.17588564005844
1.4999999999999967,-66.17875106802718
1.5249999999999966,-66.1816153771293
1.5499999999999965,-66.18447856780239
1.5749999999999964,-66.18734064046505
1.5999999999999963,-66.19020159551738
1.6249999999999962,-66.19306143334123
1.6499999999999961,-66.19592015430062
1.674999999999996,-66.19877775874201
1.699999999999996,-66.20163424699457
1.7249999999999959,-66.20448961937049
1.7499999999999958,-66.20734387616525
1.7749999999999957,-66.21019701765785
1.7999999999999956,-66.21304904411105
1.8249999999999955,-66.21589995577166
1.8499999999999954,-66.21874975287075
1.8749999999999953,-66.22159843562389
1.8999999999999952,-66.22444600423138
1.9249999999999952,-66.2272924588785
1.949999999999995,-66.23013779973566
1.974999999999995,-66.23298202695872
1.999999999999995,-66.23582514068916
2.024999999999995,-66.2386671410543
2.0499999999999954,-66.24150802816749
2.0749999999999957,-66.24434780212837
2.099999999999996,-66.24718646302306
2.1249999999999964,-66.25002401092434
2.149999999999997,-66.25286044589188
2.174999999999997,-66.25569576797247
2.1999999999999975,-66.25852997720015
2.224999999999998,-66.26136307359646
2.2499999999999982,-66.26419505717061
2.2749999999999986,-66.2670259279197
2.299999999999999,-66.26985568582889
2.3249999999999993,-66.27268433087156
2.3499999999999996,-66.27551186300958
2.375,-66.27833828219343
2.4000000000000004,-66.28116358836238
2.4250000000000007,-66.28398778144468
2.450000000000001,-66.28681086135778
2.4750000000000014,-66.28963282800846
2.5000000000000018,-66.29245368129301
2.525000000000002,-66.29527342109739
2.5500000000000025,-66.29809204729746
2.575000000000003,-66.30090955975908
2.600000000000003,-66.3037259583383
2.6250000000000036,-66.30654124288155
2.650000000000004,-66.30935541322577
2.6750000000000043,-66.3121684691986
2.7000000000000046,-66.31498041061849
2.725000000000005,-66.3177912372949
2.7500000000000053,-66.32060094902846
2.7750000000000057,-66.32340954561109
2.800000000000006,-66.32621702682617
2.8250000000000064,-66.32902339244872
2.8500000000000068,-66.33182864224545
2.875000000000007,-66.33463277597505
2.9000000000000075,-66.33743579338822
2.925000000000008,-66.34023769422785
2.950000000000008,-66.34303847822916
2.9750000000000085,-66.34583814511986
3.000000000000009,-66.34863669462025
3.0250000000000092,-66.35143412644341
3.0500000000000096,-66.35423044029525
3.07500000000001,-66.35702563587476
3.1000000000000103,-66.35981971287401
3.1250000000000107,-66.3626126709784
3.150000000000011,-66.36540450986668
3.1750000000000114,-66.36819522921118
3.2000000000000117,-66.37098482867788
3.225000000000012,-66.3737733079265
3.2500000000000124,-66.37656066661071
3.275000000000013,-66.3793469043782
3.300000000000013,-66.38213202087076
3.3250000000000135,-66.38491601572449
3.350000000000014,-66.38769888856983
3.375000000000014,-66.39048063903174
3.4000000000000146,-66.39326126672977
3.425000000000015,-66.39604077127818
3.4500000000000153,-66.3988191522861
3.4750000000000156,-66.40159640935754
3.500000000000016,-66.40437254209161
3.5250000000000163,-66.40714755008254
3.5500000000000167,-66.40992143291984
3.575000000000017,-66.41269419018836
3.6000000000000174,-66.41546582146843
3.6250000000000178,-66.41823632633596
3.650000000000018,-66.4210057043625
3.6750000000000185,-66.4237739551154
3.700000000000019,-66.42654107815784
3.725000000000019,-66.42930707304899
3.7500000000000195,-66.43207193934406
3.77500000000002,-66.43483567659442
3.8000000000000203,-66.43759828434769
3.8250000000000206,-66.4403597621478
3.850000000000021,-66.44312010953516
3.8750000000000213,-66.44587932604664
3.9000000000000217,-66.44863741121573
3.925000000000022,-66.45139436457264
3.9500000000000224,-66.45415018564434
