Time (ms),Soma Voltage (mV)
0.0,-66.0
0.025,-66.00311135571465
0.05,-66.00611732836263
0.075,-66.00904469190722
0.09999999999999999,-66.0119133640087
0.12499999999999999,-66.01473816506153
0.15,-66.01753012426924
0.17500000000000002,-66.02029745058347
0.20000000000000004,-66.02304625484109
0.22500000000000006,-66.02578108695124
0.25000000000000006,-66.0285053355273
0.2750000000000001,-66.03122152519417
0.3000000000000001,-66.03393153777229
0.3250000000000001,-66.0366367768293
0.35000000000000014,-66.03933829009922
0.37500000000000017,-66.04203686055668
0.4000000000000002,-66.04473307417157
0.4250000000000002,-66.04742737031503
0.45000000000000023,-66.05012007925852
0.47500000000000026,-66.052811450071
0.5000000000000002,-66.05550167137262
0.5250000000000001,-66.05819088677413
0.55,-66.06087920636273
0.575,-66.06356671524681
0.5999999999999999,-66.06625347991263
0.6249999999999998,-66.06893955295335
0.6499999999999997,-66.07162497658712
0.6749999999999996,-66.07430978527444
0.6999999999999995,-66.07699400766546
0.7249999999999994,-66.07967766804882
0.7499999999999993,-66.08236078742962
0.7749999999999992,-66.08504338433173
0.7999999999999992,-66.08772547539473
0.8249999999999991,-66.09040707581849
0.849999999999999,-66.09308819969401
0.8749999999999989,-66.09576886024999
0.8999999999999988,-66.0984490700365
0.9249999999999987,-66.10112884106202
0.9499999999999986,-66.10380818489573
0.9749999999999985,-66.10648711274386
0.9999999999999984,-66.10916563550704
1.0249999999999984,-66.1118437638231
1.0499999999999983,-66.11452150809944
1.0749999999999982,-66.11719887853742
1.099999999999998,-66.11987588515085
1.124999999999998,-66.12255253778014
1.149999999999998,-66.1252288461032
1.1749999999999978,-66.12790481964387
1.1999999999999977,-66.13058046777861
1.2249999999999976,-66.13325579974179
1.2499999999999976,-66.13593082463
1.2749999999999975,-66.1386055514056
1.2999999999999974,-66.14127998889983
1.3249999999999973,-66.14395414581521
1.3499999999999972,-66.14662803072801
1.3749999999999971,-66.14930165209012
1.399999999999997,-66.15197501823101
1.424999999999997,-66.15464813735944
1.4499999999999968,-66.15732101756502
1.4749999999999968,-66.15999366681979
1.4999999999999967,-66.16266609297966
1.5249999999999966,-66.16533830378589
1.5499999999999965,-66.16801030686638
1.5749999999999964,-66.17068210973709
1.5999999999999963,-66.17335371980332
1.6249999999999962,-66.17602514436099
1.6499999999999961,-66.17869639059795
1.674999999999996,-66.1813674655952
1.699999999999996,-66.18403837632813
1.7249999999999959,-66.18670912966775
1.7499999999999958,-66.18937973238185
1.7749999999999957,-66.19205019113625
1.7999999999999956,-66.19472051249592
1.8249999999999955,-66.19739070292617
1.8499999999999954,-66.20006076879376
1.8749999999999953,-66.2027307163681
1.8999999999999952,-66.20540055182228
1.9249999999999952,-66.20807028123426
1.949999999999995,-66.21073991058789
1.974999999999995,-66.21340944577408
1.999999999999995,-66.21607889259177
2.024999999999995,-66.21874825674908
2.0499999999999954,-66.22141754386432
2.0749999999999957,-66.224086759467
2.099999999999996,-66.22675590899891
2.1249999999999964,-66.22942499781507
2.149999999999997,-66.23209403118479
2.174999999999997,-66.2347630142926
2.1999999999999975,-66.2374319522393
2.224999999999998,-66.2401008500429
2.2499999999999982,-66.2427697126395
2.2749999999999986,-66.2454385448844
2.299999999999999,-66.24810735155286
2.3249999999999993,-66.25077613734118
2.3499999999999996,-66.25344490686749
2.375,-66.25611366467272
2.4000000000000004,-66.25878241522152
2.4250000000000007,-66.26145116290306
2.450000000000001,-66.26411991203199
2.4750000000000014,-66.26678866684925
2.5000000000000018,-66.26945743152298
2.525000000000002,-66.27212621014928
2.5500000000000025,-66.27479500675312
2.575000000000003,-66.27746382528916
2.600000000000003,-66.28013266964254
2.6250000000000036,-66.28280154362969
2.650000000000004,-66.28547045099916
2.6750000000000043,-66.28813939543237
2.7000000000000046,-66.29080838054442
2.725000000000005,-66.29347740988486
2.7500000000000053,-66.29614648693844
2.7750000000000057,-66.29881561512587
2.800000000000006,-66.30148479780458
2.8250000000000064,-66.3041540382694
2.8500000000000068,-66.30682333975341
2.875000000000007,-66.30949270542851
2.9000000000000075,-66.31216213840628
2.925000000000008,-66.31483164173855
2.950000000000008,-66.31750121841822
2.9750000000000085,-66.32017087137983
3.000000000000009,-66.32284060350035
3.0250000000000092,-66.32551041759977
3.0500000000000096,-66.32818031644183
3.07500000000001,-66.33085030273462
3.1000000000000103,-66.33352037913127
3.1250000000000107,-66.33619054823059
3.150000000000011,-66.33886081257768
3.1750000000000114,-66.34153117466457
3.2000000000000117,-66.34420163693086
3.225000000000012,-66.34687220176433
3.2500000000000124,-66.34954287150151
3.275000000000013,-66.35221364842835
3.300000000000013,-66.35488453478071
3.3250000000000135,-66.35755553274505
3.350000000000014,-66.36022664445896
3.375000000000014,-66.36289787201173
3.4000000000000146,-66.36556921744493
3.425000000000015,-66.36824068275298
3.4500000000000153,-66.37091226988368
3.4750000000000156,-66.37358398073874
3.500000000000016,-66.3762558171744
3.5250000000000163,-66.37892778100188
3.5500000000000167,-66.38159987398794
3.575000000000017,-66.38427209785542
3.6000000000000174,-66.38694445428371
3.6250000000000178,-66.38961694490933
3.650000000000018,-66.39228957132637
3.6750000000000185,-66.39496233508703
3.700000000000019,-66.39763523770208
3.725000000000019,-66.40030828064137
3.7500000000000195,-66.40298146533432
3.77500000000002,-66.40565479317037
3.8000000000000203,-66.40832826549948
3.8250000000000206,-66.41100188363255
3.850000000000021,-66.41367564884193
3.8750000000000213,-66.41634956236186
3.9000000000000217,-66.41902362538889
3.925000000000022,-66.42169783908237
3.9500000000000224,-66.42437220456486
